project_id,project_type,district,apply_date,estimated_cost,area_sqm,status,actual_cost,issue_date
P0102,住宅,天河区,2024-07-03,41940000,32157,审批中,\N,\N
P0103,工业,天河区,2024-05-14,12000000,29127,审批中,\N,\N
P0104,商业,黄埔区,2024-05-23,43680000,41294,已签发,53445701.0,2024-07-28
P0105,住宅,黄埔区,2024-10-15,14810000,36612,已驳回,\N,\N
P0106,仓储,海珠区,2024-04-25,18690000,29693,已驳回,\N,\N
P0107,市政,天河区,2024-10-24,23740000,26911,已签发,26229970.0,2024-11-28
P0108,工业,海珠区,2023-04-24,11800000,8203,已签发,13831308.0,2023-05-05
P0109,市政,黄埔区,2024-07-31,27080000,31907,已签发,29426354.0,2024-10-10
P0110,市政,黄埔区,2023-12-27,35500000,3478,审批中,\N,\N
P0111,住宅,天河区,2023-12-07,4240000,7496,已签发,5345715.0,2024-01-31
P0112,市政,番禺区,2024-03-24,21700000,25598,审批中,\N,\N
P0113,仓储,白云区,2023-06-29,40700000,36042,审批中,\N,\N
P0114,市政,黄埔区,2024-12-02,20710000,13461,已签发,22163210.0,2025-01-31
P0115,住宅,黄埔区,2024-02-11,37550000,11373,审批中,\N,\N
P0116,仓储,番禺区,2024-10-27,33090000,30649,已驳回,\N,\N
P0117,商业,番禺区,2023-07-15,34850000,41280,已签发,45150424.0,2023-09-06
P0118,市政,海珠区,2024-04-10,19390000,1837,已签发,23615795.0,2024-05-24
P0119,住宅,海珠区,2023-11-07,18730000,31981,已签发,25368732.0,2024-01-10
P0120,商业,白云区,2023-09-19,15240000,13852,已驳回,\N,\N
P0121,商业,白云区,2024-02-23,22920000,5303,已过期,\N,\N
P0122,工业,天河区,2024-02-10,32930000,25700,已签发,39609641.0,2024-02-21
P0123,仓储,海珠区,2023-05-23,31840000,49996,审批中,\N,\N
P0124,市政,黄埔区,2023-12-08,21200000,35000,已签发,24835817.0,2024-01-27
P0125,住宅,海珠区,2023-11-12,4090000,35729,已签发,5296076.0,2024-01-04
P0126,工业,黄埔区,2023-04-11,20910000,48163,已签发,25369816.0,2023-06-23
P0127,仓储,番禺区,2023-09-01,11910000,18652,已签发,13472137.0,2023-10-11
P0128,工业,海珠区,2024-05-04,16850000,49593,已签发,15924984.0,2024-08-29
P0129,仓储,番禺区,2023-01-12,40500000,31374,已签发,42751739.0,2023-03-09
P0130,仓储,白云区,2023-08-27,19930000,35636,已签发,27516268.0,2023-09-07
P0131,市政,白云区,2024-07-14,48240000,47606,已驳回,\N,\N
P0132,仓储,天河区,2023-02-11,34110000,16154,已签发,38838915.0,2023-05-13
P0133,工业,海珠区,2024-11-08,30300000,17386,已签发,41201151.0,2025-02-02
P0134,仓储,番禺区,2024-08-16,560000,12556,已签发,645067.0,2024-12-13
P0135,市政,黄埔区,2024-03-04,33170000,33163,审批中,\N,\N
P0136,市政,白云区,2023-06-07,16410000,2387,已签发,20604174.0,2023-08-13
P0137,工业,白云区,2023-08-04,49780000,11907,已签发,61109896.0,2023-11-27
P0138,商业,黄埔区,2024-10-31,33140000,35298,已过期,\N,\N
P0139,商业,番禺区,2024-04-06,26560000,27135,已签发,28758768.0,2024-06-28
P0140,仓储,番禺区,2023-05-14,32690000,21425,已签发,35419917.0,2023-07-18
P0141,住宅,海珠区,2023-03-08,33230000,3806,已驳回,\N,\N
P0142,仓储,海珠区,2023-01-07,9630000,33028,已签发,10692921.0,2023-04-15
P0143,工业,天河区,2024-06-09,20610000,26689,已签发,21596486.0,2024-07-22
P0144,工业,白云区,2023-03-14,14920000,14587,已签发,13720540.0,2023-07-02
P0145,工业,海珠区,2024-02-03,31040000,4127,已签发,32511913.0,2024-03-13
P0146,工业,番禺区,2024-02-09,35960000,6496,已签发,30327447.0,2024-04-29
P0147,工业,黄埔区,2024-11-05,42710000,30644,已签发,48923088.0,2025-01-23
P0148,市政,番禺区,2024-07-31,49620000,46590,已签发,65111003.0,2024-10-03
P0149,商业,白云区,2023-05-10,29780000,47093,已签发,36783429.0,2023-07-25
P0150,工业,番禺区,2024-04-10,18790000,2791,审批中,\N,\N
P0151,住宅,天河区,2023-07-25,6250000,45095,已签发,5326517.0,2023-08-06
P0152,住宅,白云区,2023-09-23,9790000,48716,已签发,9019425.0,2023-10-28
P0153,住宅,黄埔区,2024-06-20,38090000,26347,已驳回,\N,\N
P0154,住宅,天河区,2023-09-10,37490000,39089,审批中,\N,\N
P0155,市政,白云区,2023-10-16,15130000,1400,已签发,17042187.0,2023-12-17
P0156,住宅,黄埔区,2023-06-13,33250000,15921,已驳回,\N,\N
P0157,工业,天河区,2023-04-05,49780000,19438,已签发,65179658.0,2023-05-27
P0158,仓储,天河区,2023-04-20,11040000,11287,已签发,11463526.0,2023-06-28
P0159,住宅,白云区,2023-12-02,19500000,31016,审批中,\N,\N
P0160,市政,海珠区,2023-08-26,15070000,23608,已签发,19401053.0,2023-10-23
P0161,市政,天河区,2024-01-16,14490000,39940,已签发,14572641.0,2024-03-07
P0162,住宅,天河区,2024-03-11,34650000,336,已签发,30037829.0,2024-06-04
P0163,仓储,黄埔区,2024-04-27,4920000,17613,已签发,5619848.0,2024-08-14
P0164,住宅,番禺区,2023-01-25,37000000,48314,已签发,42510725.0,2023-04-10
P0165,市政,白云区,2024-10-14,47020000,19178,已驳回,\N,\N
P0166,商业,白云区,2023-04-27,12280000,861,已签发,11593936.0,2023-08-17
P0167,工业,海珠区,2024-04-26,45080000,35440,已驳回,\N,\N
P0168,市政,海珠区,2024-01-27,13070000,27453,已签发,12670329.0,2024-05-05
P0169,住宅,白云区,2024-06-20,36840000,27084,已驳回,\N,\N
P0170,工业,海珠区,2023-03-20,18910000,33054,审批中,\N,\N
P0171,住宅,黄埔区,2024-08-02,23590000,10904,审批中,\N,\N
P0172,住宅,白云区,2023-06-22,9600000,39187,已签发,9416427.0,2023-10-13
P0173,商业,海珠区,2023-01-12,43900000,24727,已签发,50907484.0,2023-03-14
P0174,工业,白云区,2023-05-08,46870000,16522,已签发,43155940.0,2023-07-02
P0175,工业,番禺区,2024-08-30,40590000,47717,已驳回,\N,\N
P0176,商业,天河区,2023-04-02,22190000,7168,已驳回,\N,\N
P0177,市政,白云区,2024-10-14,22220000,27718,已签发,17827156.0,2024-12-15
P0178,住宅,天河区,2024-06-26,1730000,46564,已签发,1905084.0,2024-09-02
P0179,仓储,海珠区,2024-06-15,32080000,28086,已签发,36888044.0,2024-09-26
P0180,住宅,天河区,2024-10-19,8350000,1900,审批中,\N,\N
P0181,住宅,白云区,2024-03-22,24660000,28446,已签发,20534558.0,2024-04-30
P0182,市政,番禺区,2024-01-25,8460000,35668,审批中,\N,\N
P0183,住宅,海珠区,2024-11-02,42220000,23399,已过期,\N,\N
P0184,商业,白云区,2023-02-12,42040000,44789,已签发,39094993.0,2023-04-19
P0185,商业,海珠区,2023-09-11,19860000,32315,已签发,26286210.0,2023-12-02
P0186,工业,黄埔区,2023-05-10,22060000,5720,已签发,18800978.0,2023-06-08
P0187,仓储,天河区,2023-03-01,38570000,44478,已签发,42135050.0,2023-06-22
P0188,住宅,黄埔区,2024-10-24,13510000,36655,已签发,16412618.0,2024-11-27
P0189,住宅,白云区,2024-04-11,42130000,49948,已签发,40320544.0,2024-05-09
P0190,市政,番禺区,2023-10-14,31900000,21129,已驳回,\N,\N
P0191,商业,海珠区,2024-05-31,32860000,41805,已签发,42640157.0,2024-08-23
P0192,仓储,天河区,2024-04-11,24020000,15155,已签发,21959136.0,2024-07-08
P0193,工业,海珠区,2023-12-11,19820000,44249,已驳回,\N,\N
P0194,商业,白云区,2024-10-03,27710000,14117,审批中,\N,\N
P0195,工业,海珠区,2024-01-17,4140000,4957,已签发,4055292.0,2024-04-22
P0196,市政,天河区,2024-11-20,49660000,13245,已签发,52565853.0,2024-12-26
P0197,市政,白云区,2023-09-10,24400000,41880,已签发,24090489.0,2023-10-29
P0198,住宅,海珠区,2023-02-25,9960000,4933,审批中,\N,\N
P0199,仓储,番禺区,2024-04-07,14270000,31154,审批中,\N,\N
P0200,工业,白云区,2024-04-01,14890000,31335,审批中,\N,\N
P0201,商业,白云区,2023-03-24,32300000,7281,已签发,44944188.0,2023-06-03
P0202,市政,番禺区,2023-04-09,49070000,41658,已驳回,\N,\N
P0203,住宅,黄埔区,2023-05-29,3900000,23701,已签发,4527238.0,2023-07-27
P0204,住宅,天河区,2023-11-25,30390000,21313,已签发,30497342.0,2024-01-15
P0205,工业,黄埔区,2023-06-05,4320000,34641,已签发,4867591.0,2023-07-13
P0206,市政,海珠区,2023-07-09,16060000,47286,已签发,13243732.0,2023-08-26
P0207,仓储,番禺区,2024-05-08,3490000,24890,已签发,4351663.0,2024-07-16
P0208,市政,黄埔区,2023-09-20,1880000,44139,已驳回,\N,\N
P0209,工业,白云区,2023-03-21,4080000,29545,已驳回,\N,\N
P0210,工业,海珠区,2024-02-04,49810000,46513,已签发,41716082.0,2024-05-06
P0211,市政,海珠区,2024-08-31,15720000,44771,已签发,16230583.0,2024-12-19
P0212,工业,黄埔区,2023-09-17,35060000,27029,已签发,40320855.0,2023-12-18
P0213,市政,黄埔区,2024-09-06,16770000,35262,已签发,18086820.0,2024-12-21
P0214,商业,番禺区,2024-07-05,13530000,3830,已签发,15850700.0,2024-07-30
P0215,市政,天河区,2023-04-11,11840000,48061,已驳回,\N,\N
P0216,市政,黄埔区,2023-12-25,22360000,32070,已签发,26765418.0,2024-01-10
P0217,工业,黄埔区,2024-01-15,32200000,49498,已签发,29993515.0,2024-02-19
P0218,工业,白云区,2023-08-09,38850000,47421,已签发,33710374.0,2023-11-22
P0219,住宅,海珠区,2024-02-24,22010000,45142,已驳回,\N,\N
P0220,住宅,天河区,2023-05-04,12870000,3653,审批中,\N,\N
P0221,商业,白云区,2024-02-26,37850000,37475,已驳回,\N,\N
P0222,住宅,番禺区,2023-08-19,28840000,43570,审批中,\N,\N
P0223,市政,番禺区,2024-11-20,43100000,38596,已签发,37224407.0,2025-03-01
P0224,工业,黄埔区,2023-03-04,10480000,8528,已签发,11725171.0,2023-05-21
P0225,住宅,黄埔区,2024-04-29,26170000,15734,审批中,\N,\N
P0226,住宅,番禺区,2024-09-19,13570000,19944,已签发,15848282.0,2024-10-24
P0227,商业,黄埔区,2024-12-03,7060000,19589,已签发,9060530.0,2024-12-17
P0228,商业,天河区,2024-07-27,27100000,36520,已签发,26552612.0,2024-08-27
P0229,市政,黄埔区,2024-04-27,22610000,49370,已签发,31139877.0,2024-07-24
P0230,工业,海珠区,2024-06-02,19590000,35210,已签发,21967847.0,2024-06-24
P0231,商业,黄埔区,2023-06-04,37800000,14865,已签发,44262835.0,2023-07-11
P0232,住宅,白云区,2023-04-02,20960000,38065,审批中,\N,\N
P0233,工业,天河区,2024-06-09,32120000,8840,已签发,38545250.0,2024-10-03
P0234,工业,白云区,2024-03-30,11900000,34916,已签发,13168331.0,2024-05-01
P0235,住宅,白云区,2024-08-20,3160000,25721,已签发,3340937.0,2024-12-04
P0236,商业,海珠区,2024-10-06,18950000,30249,已签发,15771500.0,2025-01-30
P0237,住宅,天河区,2024-05-24,17580000,5818,已签发,14296961.0,2024-06-20
P0238,工业,天河区,2023-07-02,36800000,37204,已签发,37343783.0,2023-08-10
P0239,仓储,天河区,2024-01-21,32610000,2120,已签发,32616408.0,2024-02-25
P0240,仓储,天河区,2024-07-27,23430000,44137,已签发,24194218.0,2024-08-21
P0241,市政,天河区,2024-02-09,37820000,4388,已签发,33395851.0,2024-05-05
P0242,住宅,海珠区,2023-09-03,38790000,12407,已签发,48212128.0,2023-10-21
P0243,住宅,黄埔区,2024-08-13,15600000,438,已签发,20501186.0,2024-09-24
P0244,市政,白云区,2024-10-22,5250000,33172,已签发,7156951.0,2024-11-26
P0245,市政,天河区,2024-10-11,10260000,10999,已签发,11238982.0,2024-12-07
P0246,市政,黄埔区,2024-04-15,12570000,5752,审批中,\N,\N
P0247,工业,黄埔区,2024-02-27,20100000,29116,已签发,26397946.0,2024-04-14
P0248,住宅,白云区,2023-03-06,6070000,5127,已签发,6379416.0,2023-03-17
P0249,工业,海珠区,2023-01-13,9320000,28164,已签发,9186236.0,2023-01-28
P0250,市政,番禺区,2023-08-01,22440000,11364,审批中,\N,\N
P0251,住宅,番禺区,2023-08-30,48110000,37358,已驳回,\N,\N
P0252,工业,黄埔区,2024-05-07,27170000,19271,审批中,\N,\N
P0253,工业,白云区,2023-08-01,47270000,48609,审批中,\N,\N
P0254,市政,番禺区,2024-11-23,48400000,6360,已签发,41860821.0,2025-02-28
P0255,住宅,黄埔区,2023-12-04,16600000,16010,审批中,\N,\N
P0256,市政,海珠区,2023-06-22,35380000,5326,已签发,41340819.0,2023-07-28
P0257,住宅,番禺区,2024-11-02,25040000,30209,已签发,24927188.0,2024-12-22
P0258,仓储,黄埔区,2023-06-13,45440000,33784,已签发,41579496.0,2023-09-02
P0259,商业,黄埔区,2024-04-09,19960000,46382,已签发,22620635.0,2024-07-19
P0260,商业,天河区,2024-05-11,48600000,25596,已驳回,\N,\N
P0261,商业,海珠区,2024-11-30,48490000,392,已签发,44814271.0,2024-12-26
P0262,市政,天河区,2024-01-30,28580000,36613,审批中,\N,\N
P0263,仓储,白云区,2024-12-03,38750000,13016,已签发,32959146.0,2025-01-10
P0264,住宅,天河区,2023-11-04,35860000,39282,已签发,36349698.0,2024-01-10
P0265,工业,天河区,2023-07-02,38520000,32330,已签发,46541044.0,2023-09-19
P0266,住宅,番禺区,2024-09-20,42270000,40342,已签发,40768240.0,2024-12-16
P0267,工业,黄埔区,2024-05-24,47490000,36668,已驳回,\N,\N
P0268,住宅,海珠区,2024-12-08,20200000,30898,已签发,25127198.0,2024-12-23
P0269,仓储,天河区,2024-06-29,38720000,10855,已签发,49306578.0,2024-08-03
P0270,工业,海珠区,2024-07-17,28690000,48097,已驳回,\N,\N
P0271,市政,天河区,2024-09-15,9520000,30275,已签发,8418805.0,2024-10-06
P0272,住宅,白云区,2024-08-16,4140000,9559,已过期,\N,\N
P0273,住宅,天河区,2023-08-15,43080000,36861,已签发,47855258.0,2023-09-07
P0274,工业,番禺区,2024-03-11,31690000,39779,已签发,39574777.0,2024-04-11
P0275,市政,黄埔区,2024-02-26,26080000,42256,已签发,33954035.0,2024-04-26
P0276,市政,白云区,2024-07-07,19130000,33472,已签发,23388360.0,2024-08-08
P0277,仓储,天河区,2023-01-21,1650000,42781,已签发,2239310.0,2023-03-19
P0278,市政,海珠区,2024-07-07,24340000,14871,审批中,\N,\N
P0279,市政,白云区,2024-02-01,39850000,27248,已驳回,\N,\N
P0280,市政,白云区,2024-09-16,49850000,10938,审批中,\N,\N
P0281,商业,天河区,2023-04-15,25400000,26163,已签发,30929972.0,2023-07-22
P0282,仓储,白云区,2023-07-11,9920000,44154,已签发,9083965.0,2023-08-02
P0283,住宅,海珠区,2023-01-17,17740000,6973,已签发,15178856.0,2023-04-21
P0284,工业,白云区,2023-04-30,23840000,36784,已签发,26684916.0,2023-08-22
P0285,住宅,海珠区,2024-01-28,28170000,30094,审批中,\N,\N
P0286,仓储,天河区,2024-02-29,11870000,917,已签发,10218027.0,2024-05-03
P0287,工业,黄埔区,2023-05-09,25770000,11876,已签发,32860223.0,2023-05-27
P0288,仓储,白云区,2023-05-10,41670000,4634,已签发,53626923.0,2023-08-06
P0289,市政,黄埔区,2024-07-25,34700000,38025,已过期,\N,\N
P0290,工业,海珠区,2024-07-13,48280000,29300,已签发,40284165.0,2024-07-24
P0291,市政,白云区,2023-01-29,39560000,5194,已签发,35792064.0,2023-03-04
P0292,住宅,番禺区,2023-04-07,36870000,4434,已签发,45145684.0,2023-04-29
P0293,住宅,黄埔区,2023-01-10,30030000,3964,已签发,36848815.0,2023-04-27
P0294,工业,白云区,2023-08-30,24170000,44149,已签发,32363948.0,2023-10-29
P0295,工业,黄埔区,2023-08-20,42710000,37605,已签发,49099915.0,2023-10-26
P0296,仓储,白云区,2023-10-11,3260000,35072,审批中,\N,\N
P0297,仓储,天河区,2024-12-15,20490000,42415,已签发,17884674.0,2025-01-28
P0298,市政,黄埔区,2024-12-26,12770000,23385,审批中,\N,\N
P0299,工业,番禺区,2023-07-19,38020000,43642,已过期,\N,\N
P0300,住宅,番禺区,2023-03-20,37850000,41353,审批中,\N,\N
P0301,仓储,海珠区,2023-06-22,7450000,12199,已签发,8137837.0,2023-08-29
P0302,仓储,白云区,2024-04-11,13590000,36687,已签发,11073932.0,2024-06-29
P0303,住宅,黄埔区,2024-08-03,42020000,2781,审批中,\N,\N
P0304,仓储,海珠区,2024-02-20,32840000,2963,审批中,\N,\N
P0305,市政,黄埔区,2024-03-24,41640000,27574,已签发,40298433.0,2024-04-21
P0306,工业,白云区,2023-03-28,23610000,38959,审批中,\N,\N
P0307,住宅,番禺区,2023-04-11,28910000,10731,已签发,35756100.0,2023-07-11
P0308,工业,天河区,2023-01-08,42580000,25507,已签发,54838296.0,2023-04-30
P0309,仓储,番禺区,2023-07-19,36090000,31035,已签发,34447449.0,2023-10-09
P0310,仓储,海珠区,2024-05-19,34480000,11264,已签发,43605190.0,2024-08-12
P0311,住宅,天河区,2023-03-28,5910000,11512,已签发,6095172.0,2023-04-11
P0312,市政,海珠区,2023-02-12,27440000,37748,审批中,\N,\N
P0313,商业,白云区,2024-01-20,47240000,37145,已签发,62054494.0,2024-02-09
P0314,住宅,天河区,2024-09-12,11380000,48137,已签发,14224683.0,2024-12-24
P0315,商业,海珠区,2024-03-10,34130000,6676,已签发,43791182.0,2024-05-26
P0316,商业,白云区,2024-02-12,740000,24765,已签发,652759.0,2024-04-30
P0317,市政,番禺区,2024-04-27,16220000,2582,已签发,13654509.0,2024-05-07
P0318,商业,白云区,2024-10-25,30080000,49883,审批中,\N,\N
P0319,商业,黄埔区,2023-01-17,42860000,22663,审批中,\N,\N
P0320,市政,白云区,2024-10-06,18170000,45476,审批中,\N,\N
P0321,商业,白云区,2023-05-28,47930000,33602,审批中,\N,\N
P0322,商业,黄埔区,2023-10-04,22850000,26545,已签发,29747257.0,2024-01-03
P0323,商业,海珠区,2023-08-20,2500000,44964,已签发,3293734.0,2023-09-10
P0324,住宅,海珠区,2024-01-01,32480000,27146,已签发,32142152.0,2024-03-27
P0325,住宅,白云区,2023-08-16,3060000,14362,已签发,4012661.0,2023-10-05
P0326,住宅,黄埔区,2024-10-12,37970000,49354,已过期,\N,\N
P0327,市政,黄埔区,2024-03-11,46920000,46973,已签发,38934070.0,2024-04-26
P0328,仓储,番禺区,2024-02-03,22910000,8597,已签发,26898894.0,2024-03-28
P0329,商业,海珠区,2023-07-30,32250000,22535,已驳回,\N,\N
P0330,商业,天河区,2024-01-26,36560000,45295,已驳回,\N,\N
P0331,市政,海珠区,2024-05-13,33860000,14594,审批中,\N,\N
P0332,商业,海珠区,2024-06-23,49470000,27397,已签发,49586756.0,2024-10-09
P0333,住宅,番禺区,2024-07-16,4630000,22210,已签发,4202928.0,2024-08-16
P0334,仓储,天河区,2024-05-05,20640000,24323,已签发,19996246.0,2024-08-22
P0335,工业,番禺区,2024-03-17,14310000,22587,已签发,15376741.0,2024-04-06
P0336,商业,天河区,2023-09-18,11480000,3090,已签发,12458457.0,2023-11-24
P0337,住宅,白云区,2023-12-16,34760000,27969,已签发,44138252.0,2024-02-09
P0338,工业,天河区,2023-12-18,37050000,43826,已驳回,\N,\N
P0339,仓储,番禺区,2024-06-03,9590000,8226,已签发,10300529.0,2024-07-17
P0340,工业,海珠区,2023-11-16,2370000,3506,审批中,\N,\N
P0341,住宅,天河区,2023-05-18,40940000,33865,审批中,\N,\N
